1	Vibe	Cookiee Kawaii	https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5
2	death bed (feat. beabadoobee)	Powfu	https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
3	My Truck	Breland	https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9
4	Moral of the Story	Ashe	https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
5	Pura Pura Lupa	Mahen	https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
6	WHATS POPPIN	Jack Harlow	https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
7	Apollo	Smoove'L	https://open.spotify.com/track/0VPmIETYsw3JBnyh4iDjVv
8	Psycho!	MASE	https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
9	Any song	Zico	https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
10	Sunday Best	Surfaces	https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
11	Carnaval Chegando	Rennan da Penha	https://open.spotify.com/track/4A8LKlysJXq8swPVDPd0xH
12	Toss A Coin To Your Witcher	Sonya Belousova	https://open.spotify.com/track/2KMLGJ1mPfRE4GNdL92rl3
13	The Box	Roddy Ricch	https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
14	Ivana	Soulstice	https://open.spotify.com/track/5bSvsXRBUjGe8pGScU0hPz
15	Bi Sonraki Hayatımda Gel	Murda	https://open.spotify.com/track/7BjmOMyfT4PBKbZuSCwWPc
16	Uslanmıyor Bu	Zeynep Bastık	https://open.spotify.com/track/24BvlSG2Y36Heg1dwLwHtu
17	Secukupnya	Hindia	https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
18	BLACKOUT	Lil Kapow	https://open.spotify.com/track/29hrQIClzqNqMPO4bVWcjI
19	Rindu Dalam Hati	Arsy Widianto	https://open.spotify.com/track/1DhJgI2oAsDeDVSD5TNPCF
20	What If I Told You That I Love You	Ali Gatie	https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
21	Dior	Pop Smoke	https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
22	Boys Ain't Shit	SAYGRACE	https://open.spotify.com/track/6vzLbfskWigBsCzNdB0kfE
23	Svag	Victor Leksell	https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
24	Blinding Lights	The Weeknd	https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
25	Say So	Doja Cat	https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
26	Yetinmeyi Bilir Misin?	Sezen Aksu	https://open.spotify.com/track/3mRVgn5Q4AbECPzPRlCEk3
27	Drugs	UPSAHL	https://open.spotify.com/track/06ioYJ99HHjzRk8HrGfkKS
28	I LOVE...	Official HIGE DANdism	https://open.spotify.com/track/6Yrkz3dWqy933CQWQc4Yah
29	Vai Bene Così	Leo Gassmann	https://open.spotify.com/track/4A9WiZ8ShlpOaoULibEwup
30	Per sentirmi vivo	Fasma	https://open.spotify.com/track/5U3ln41nbhztweY70Mv5b3
31	Roses - Imanbek Remix	SAINt JHN	https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
32	Falling	Trevor Daniel	https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
33	CITY OF ANGELS	24kGoldn	https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
34	You Broke My Heart Again	Teqkoi	https://open.spotify.com/track/3jZDWsoxRHzzp3DYV8qeXE
35	Tudo Ok	Thiaguinho MT	https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
36	High Fashion (feat. Mustard)	Roddy Ricch	https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
37	Boss Bitch	Doja Cat	https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
38	Yummy	Justin Bieber	https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
39	GOODMORNINGTOKYO!	TOKYO’S REVENGE	https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
40	Amor Tumbado	Natanael Cano	https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj
41	Welcome to Chilis	Yung Gravy	https://open.spotify.com/track/3PdcxgzpWzAsUGgkmykIFc
42	Kazılı Kuyum	Yüzyüzeyken Konuşuruz	https://open.spotify.com/track/5DJEXxOutnFD5GEUVk88yE
43	All I Want - From ""High School Musical: The Musical: The Series""	Olivia Rodrigo	https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
44	Tusa	KAROL G	https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
45	Lost In Yesterday	Tame Impala	https://open.spotify.com/track/5JWPUEov2wlX7c0jhYZpeB
46	Vem Me Satisfazer	MC Ingryd	https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
47	Inolvidable	Ovy On The Drums	https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
48	Opaul	Freddie Dredd	https://open.spotify.com/track/4areFtLMjGt4GmO4IAbGo0
49	Bussin	Tay Money	https://open.spotify.com/track/2OBot5OpoT4deri6VkYCyW
50	Life Is Good (feat. Drake)	Future	https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
